variants	origine
Oussama Laden	Oussama ben Laden
Laden	Oussama ben Laden
C. Maurras	Charles Maurras
Charles Maurras	Charles Maurras
Maurras	Charles Maurras
Paul VI	Paul VI
Jean XXIII	Jean XXIII
Pie XI	Pie XI
Benoît XV	Benoît XV
Pie X	Pie X
Léon XIII	Léon XIII
Pie IX	Pie IX
Grégoire XVI	Grégoire XVI
Pie VIII	Pie VIII
Léon XII	Léon XII
Pie VII	Pie VII
Grégoire XIII	Grégoire XIII
Pie V	Pie V
Clément XI	Clément XI
G. Bernanos	Georges Bernanos
Georges Bernanos	Georges Bernanos
Bernanos	Georges Bernanos
Innocent XIII	Innocent XIII
Benoît XIII	Benoît XIII
Clément XII	Clément XII
Benoît XIV	Benoît XIV
Solomon Golomb	Solomon W. Golomb
T. Lie	Trygve Lie
Trygve Lie	Trygve Lie
Lie	Trygve Lie
P. Lévy	Pierre Lévy
Pierre Lévy	Pierre Lévy
Lévy	Pierre Lévy
G. Perec	Georges Perec
Georges Perec	Georges Perec
Perec	Georges Perec
U. Eco	Umberto Eco
Umberto Eco	Umberto Eco
Eco	Umberto Eco
F. Muguruza	Fermin Muguruza
Fermin Muguruza	Fermin Muguruza
Muguruza	Fermin Muguruza
A. Cox	Alan Cox
Alan Cox	Alan Cox
Cox	Alan Cox
A. Collins	Albert Collins
Albert Collins	Albert Collins
Collins	Albert Collins
G. Pompidou	Georges Pompidou
Georges Pompidou	Georges Pompidou
Pompidou	Georges Pompidou
S. Marceau	Sophie Marceau
Sophie Marceau	Sophie Marceau
Marceau	Sophie Marceau
A. Dreyfus	Alfred Dreyfus
Alfred Dreyfus	Alfred Dreyfus
Dreyfus	Alfred Dreyfus
G. Maupassant	Guy de Maupassant
Guy Maupassant	Guy de Maupassant
Maupassant	Guy de Maupassant
G. Flaubert	Gustave Flaubert
Gustave Flaubert	Gustave Flaubert
Flaubert	Gustave Flaubert
P. Cézanne	Paul Cézanne
Paul Cézanne	Paul Cézanne
Cézanne	Paul Cézanne
C. Monet	Claude Monet
Claude Monet	Claude Monet
Monet	Claude Monet
D. Pennac	Daniel Pennac
Daniel Pennac	Daniel Pennac
Pennac	Daniel Pennac
L. Senghor	Léopold Sédar Senghor
Léopold Senghor	Léopold Sédar Senghor
Senghor	Léopold Sédar Senghor
Pie VI	Pie VI
Clément XIV	Clément XIV
Clément XIII	Clément XIII
J. Steinbeck	John Steinbeck
John Steinbeck	John Steinbeck
Steinbeck	John Steinbeck
A. Sapritch	Alice Sapritch
Alice Sapritch	Alice Sapritch
Sapritch	Alice Sapritch
R. Lerdorf	Rasmus Lerdorf
Rasmus Lerdorf	Rasmus Lerdorf
Lerdorf	Rasmus Lerdorf
J. Goldman	Jean-Jacques Goldman
Jean-Jacques Goldman	Jean-Jacques Goldman
Goldman	Jean-Jacques Goldman
M. Houellebecq	Michel Houellebecq
Michel Houellebecq	Michel Houellebecq
Houellebecq	Michel Houellebecq
B. Stoker	Bram Stoker
Bram Stoker	Bram Stoker
Stoker	Bram Stoker
T. Turner	Tina Turner
Tina Turner	Tina Turner
Turner	Tina Turner
L. Ferry	Luc Ferry
Luc Ferry	Luc Ferry
Ferry	Luc Ferry
J. Raffarin	Jean-Pierre Raffarin
Jean-Pierre Raffarin	Jean-Pierre Raffarin
Raffarin	Jean-Pierre Raffarin
J. Lang	Jack Lang
Jack Lang	Jack Lang
Lang	Jack Lang
G. Bedos	Guy Bedos
Guy Bedos	Guy Bedos
Bedos	Guy Bedos
D. Cohn-Bendit	Daniel Cohn-Bendit
Daniel Cohn-Bendit	Daniel Cohn-Bendit
Cohn-Bendit	Daniel Cohn-Bendit
D. Gélin	Daniel Gélin
Daniel Gélin	Daniel Gélin
Gélin	Daniel Gélin
